tweet_id,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,dog,timestamp,source,text,expanded_urls,rating_numerator,rating_denominator,name,stage,favorite_count,retweet_count
758828659922702336,https://pbs.twimg.com/media/Cofmom_VUAA4dRO.jpg,1,chesapeake_bay_retriever,0.480048,True,vizsla,0.264522,True,weimaraner,0.12184,True,True,2016-07-29 00:57:05+00:00,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone",This doggo is just waiting for someone to be proud of her and her accomplishment. 13/10 legendary af https://t.co/9T2h14yn4Q,https://twitter.com/dog_rates/status/758828659922702336,13.0,10,none,doggo,11342,3877
758854675097526272,https://pbs.twimg.com/media/Cof-SuqVYAAs4kZ.jpg,4,barrow,0.974047,False,old_english_sheepdog,0.0237914,True,komondor,0.0012463,True,True,2016-07-29 02:40:28+00:00,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone","This is Lilli Bee &amp; Honey Bear. Unfortunately, they were both born with no eyes. So heckin sad. Both 11/10 https://t.co/4UrfOZhztW",https://twitter.com/dog_rates/status/758854675097526272,11.0,10,lilli,,3596,908
759047813560868866,https://pbs.twimg.com/media/Coit84_VYAEMtLi.jpg,1,labrador_retriever,0.778546,True,bathing_cap,0.154254,False,golden_retriever,0.0249716,True,True,2016-07-29 15:27:55+00:00,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone",This is Spencer. He's part of the Queen's Guard. Takes his job very seriously. 11/10 https://t.co/8W5iSOgXfx,https://twitter.com/dog_rates/status/759047813560868866,11.0,10,spencer,,6572,2050
759099523532779520,https://pbs.twimg.com/media/Cojc_Q0WcAAqi_K.jpg,1,shetland_sheepdog,0.12903399999999998,True,kelpie,0.117508,True,siberian_husky,0.106708,True,True,2016-07-29 18:53:24+00:00,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone",Meet Toby. He has a drinking problem. Inflatable marijuana plant in the back is also not a good look. 7/10 cmon Toby https://t.co/Cim4DSj6Oi,https://twitter.com/dog_rates/status/759099523532779520,7.0,10,toby,,14695,4221
759197388317847553,https://pbs.twimg.com/media/Cok1_sjXgAU3xpp.jpg,1,kuvasz,0.5113409999999999,True,golden_retriever,0.07689910000000001,True,white_wolf,0.06326939999999999,False,True,2016-07-30 01:22:17+00:00,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone",This is Luna. She's just heckin precious af I have nothing else to say. 12/10 https://t.co/gQH2mmKIJW,https://twitter.com/dog_rates/status/759197388317847553,12.0,10,luna,,6145,1970
759447681597108224,https://pbs.twimg.com/media/CooZok_WEAA7oPw.jpg,1,kuvasz,0.223148,True,bedlington_terrier,0.220731,True,teddy,0.181303,False,True,2016-07-30 17:56:51+00:00,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone",This is Oakley. He has no idea what happened here. Even offered to help clean it up. 11/10 such a heckin good boy https://t.co/vT3JM8b989,https://twitter.com/dog_rates/status/759447681597108224,11.0,10,oakley,,8586,2478
759557299618865152,https://pbs.twimg.com/media/Cop9VVUXgAAhX9u.jpg,2,golden_retriever,0.763333,True,chesapeake_bay_retriever,0.194251,True,labrador_retriever,0.0122254,True,True,2016-07-31 01:12:26+00:00,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone",This is Emma. She can't believe her last guess didn't hit. Convinced ur stacking them on top of each other. 10/10 https://t.co/JRV1dhBYwu,https://twitter.com/dog_rates/status/759557299618865152,10.0,10,emma,,4761,1202
759793422261743616,https://pbs.twimg.com/media/CotUFZEWcAA2Pku.jpg,2,golden_retriever,0.985876,True,labrador_retriever,0.00194777,True,kuvasz,0.00175174,True,True,2016-07-31 16:50:42+00:00,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone","Meet Maggie &amp; Lila. Maggie is the doggo, Lila is the pupper. They are sisters. Both 12/10 would pet at the same time https://t.co/MYwR4DQKll",https://twitter.com/dog_rates/status/759793422261743616,12.0,10,maggie,doggo and pupper,6034,1939
759846353224826880,https://pbs.twimg.com/media/CouEOZhWAAAgFpE.jpg,1,sussex_spaniel,0.355395,True,vizsla,0.141094,True,otterhound,0.0921982,True,True,2016-07-31 20:21:02+00:00,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone",This is Kirby. He's a Beneblip Cumberpat. Pretty heckin rare. 11/10 would put my face against his face https://t.co/fd6uucghY6,https://twitter.com/dog_rates/status/759846353224826880,11.0,10,kirby,,6811,2004
759923798737051648,https://pbs.twimg.com/media/CovKqSYVIAAUbUW.jpg,1,labrador_retriever,0.324579,True,seat_belt,0.109168,False,pug,0.102466,True,True,2016-08-01 01:28:46+00:00,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone",We only rate dogs... this is a Taiwanese Guide Walrus. Im getting real heckin tired of this. Please send dogs. 10/10 https://t.co/49hkNAsubi,https://twitter.com/dog_rates/status/759923798737051648,10.0,10,none,,14845,5719
